Brand,Model,Cpu,Processor,Ram,SSD (TB),Screen,Price,Date,Url
Apple,MacBook Pro,Apple M1,M1 Pro,16,2,14,24823.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-2-tb-ssd-dansk-z15g69dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,2,14,24823.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-2-tb-ssd-dansk-z15j19dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,4,14,30055.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-4-tb-ssd-dansk-z15k7dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15g68dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,8,14,40519.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-8-tb-ssd-dansk-z15g71dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,8,14,40519.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-8-tb-ssd-dansk-z15j21dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15j68dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-islandsk-z15h371dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,8,14,40519.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-8-tb-ssd-dansk-z15g21dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15g39dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,27633.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15g35dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15j89dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-svensk-z15h723dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15k15dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,25888.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15g31dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-spansk-z15h725dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15g89dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15j39dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-svensk-z15h255dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-usa-z15j769dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-islandsk-z15h731dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,25888.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15j31dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-spansk-z15h257dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,26063.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15j81dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-tysk-z15h727dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,28311.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-fransk-z15h258dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,2,14,27633.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-2-tb-ssd-dansk-z15g85dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,4,14,33543.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-4-tb-ssd-dansk-z15k16dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,32,4,14,31295.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-32-gb-ram-4-tb-ssd-dansk-z15g82dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15g68dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15j68dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-islandsk-z15h371dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,18912.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15j10dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,21334.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-dansk-z15g18dkcto
Apple,MacBook Pro,Apple M1,M1 Pro,16,1,14,18912.0,17-11-2021,https://www.fcomputer.dk/apple-macbook-pro-14-2-m1-pro-16-gb-ram-1-tb-ssd-islandsk-z15g1751dkcto
